,Cre_line,Morph,counts
0,Chat-IRES-Cre-neo;Ai14,n,8
1,Chat-IRES-Cre-neo;Ai14,q,3
2,Chat-IRES-Cre-neo;Ai14,y,2
3,Chrna2-Cre_OE25;Ai14,n,34
4,Chrna2-Cre_OE25;Ai14,q,16
5,Chrna2-Cre_OE25;Ai14,y,10
6,Ctgf-T2A-dgCre;Ai14,n,2
7,Ctgf-T2A-dgCre;Ai14,q,4
8,Ctgf-T2A-dgCre;Ai14,y,3
9,Cux2-CreERT2;Ai14,n,26
10,Cux2-CreERT2;Ai14,q,8
11,Cux2-CreERT2;Ai14,y,3
12,Gad2-IRES-Cre;Ai14,n,136
13,Gad2-IRES-Cre;Ai14,q,23
14,Gad2-IRES-Cre;Ai14,y,15
15,Htr3a-Cre_NO152;Ai14,n,10
16,Htr3a-Cre_NO152;Ai14,q,4
17,Htr3a-Cre_NO152;Ai14,y,5
18,Htr3a-Cre_NO152;Pvalb-T2A-Dre;Ai66,n,11
19,Htr3a-Cre_NO152;Pvalb-T2A-Dre;Ai66,q,2
20,Htr3a-Cre_NO152;Pvalb-T2A-Dre;Ai66,y,1
21,Ndnf-IRES2-dgCre;Ai14,n,8
22,Ndnf-IRES2-dgCre;Ai14,q,1
23,Ndnf-IRES2-dgCre;Ai14,y,6
24,Nos1-CreERT2;Sst-IRES-FlpO;Ai65,q,2
25,Nos1-CreERT2;Sst-IRES-FlpO;Ai65,y,1
26,Nr5a1-Cre;Ai14,n,25
27,Nr5a1-Cre;Ai14,q,8
28,Nr5a1-Cre;Ai14,y,15
29,Oxtr-T2A-Cre;Ai14,n,27
30,Oxtr-T2A-Cre;Ai14,q,14
31,Oxtr-T2A-Cre;Ai14,y,17
32,Pdyn-T2A-CreERT2;Ai14,n,3
33,Pvalb-IRES-Cre;Ai14,n,46
34,Pvalb-IRES-Cre;Ai14,q,11
35,Pvalb-IRES-Cre;Ai14,y,9
36,Rbp4-Cre_KL100;Ai14,n,56
37,Rbp4-Cre_KL100;Ai14,q,15
38,Rbp4-Cre_KL100;Ai14,y,50
39,Rorb-IRES2-Cre-neo;Ai14,n,22
40,Rorb-IRES2-Cre-neo;Ai14,q,12
41,Rorb-IRES2-Cre-neo;Ai14,y,17
42,Rorb-IRES2-Cre;Ai14,n,85
43,Rorb-IRES2-Cre;Ai14,q,10
44,Rorb-IRES2-Cre;Ai14,y,27
45,Scnn1a-Tg2-Cre;Ai14,n,10
46,Scnn1a-Tg2-Cre;Ai14,q,3
47,Scnn1a-Tg2-Cre;Ai14,y,5
48,Scnn1a-Tg3-Cre;Ai14,n,21
49,Scnn1a-Tg3-Cre;Ai14,q,5
50,Scnn1a-Tg3-Cre;Ai14,y,16
51,Sim1-Cre_KJ18;Ai14,n,5
52,Sim1-Cre_KJ18;Ai14,q,1
53,Sim1-Cre_KJ18;Ai14,y,2
54,Slc32a1-IRES-Cre;Ai14,n,167
55,Slc32a1-IRES-Cre;Ai14,q,48
56,Slc32a1-IRES-Cre;Ai14,y,16
57,Sst-IRES-Cre;Ai14,n,33
58,Sst-IRES-Cre;Ai14,q,16
59,Sst-IRES-Cre;Ai14,y,37
60,Vip-IRES-Cre;Ai14,n,116
61,Vip-IRES-Cre;Ai14,q,55
62,Vip-IRES-Cre;Ai14,y,44
63,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65,n,2
64,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65,n,38
65,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65,q,1
66,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65,y,9
