,Date,Post patch?,Post patch pipette R,PCR cycles,post patch class,Cre_line
4971,2017-04-19,Nucleated,,21.0,Nucleated,Sst-IRES-Cre
4973,2017-04-19,Nucleated,,21.0,Nucleated,Sst-IRES-Cre
4975,2017-04-19,Nucleated,,21.0,Nucleated,Sst-IRES-Cre
4988,2017-04-20,Nucleated,,21.0,Nucleated,Vip-IRES-Cre
4997,2017-04-20,Nucleated,,21.0,Nucleated,Vip-IRES-Cre
5009,2017-04-20,Nucleated,,21.0,Nucleated,Vip-IRES-Cre
5022,2017-04-21,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5026,2017-04-21,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5027,2017-04-21,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5035,2017-04-21,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5045,2017-04-24,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5051,2017-04-24,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5058,2017-04-24,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5063,2017-04-24,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5073,2017-04-25,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5084,2017-04-25,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5085,2017-04-25,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5089,2017-04-25,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5111,2017-04-26,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5114,2017-04-26,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5117,2017-04-26,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5134,2017-04-27,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5146,2017-04-27,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5154,2017-04-28,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5164,2017-04-28,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5166,2017-04-28,Nucleated,,21.0,Nucleated,Scnn1a-Tg3-Cre
5184,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5185,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5186,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5189,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5192,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5196,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5198,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5199,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5200,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5204,2017-05-01,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5212,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5213,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5215,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5220,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5225,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5226,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5229,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5230,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5233,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5234,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5235,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5238,2017-05-02,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre-neo
5250,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5251,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5254,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5261,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5262,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5263,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5270,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5276,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5277,2017-05-03,Nucleated,,21.0,Nucleated,Scnn1a-Tg2-Cre
5287,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5289,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5290,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5291,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5295,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5296,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5298,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5307,2017-05-04,Nucleated,,21.0,Nucleated,Htr3a-Cre_NO152;Pvalb-T2A-Dre
5308,2017-05-04,Nucleated,,21.0,Nucleated,Htr3a-Cre_NO152;Pvalb-T2A-Dre
5309,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5310,2017-05-04,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5315,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5318,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5319,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5320,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5328,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5331,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5333,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5334,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5339,2017-05-05,Nucleated,,21.0,Nucleated,Nr5a1-Cre
5347,2017-05-10,Nucleated,,21.0,Nucleated,Pvalb-IRES-Cre
5351,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5358,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5360,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5361,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5363,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5370,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5372,2017-05-10,Nucleated,,21.0,Nucleated,Rorb-IRES2-Cre
5381,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5384,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5386,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5390,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5391,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5392,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5393,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5394,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5395,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5397,2017-05-11,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5411,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5412,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5414,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5417,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5418,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5421,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5422,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5425,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5426,2017-05-12,Nucleated,,21.0,Nucleated,Cux2-CreERT2
5439,2017-05-15,Nucleated,,21.0,Nucleated,Pvalb-IRES-Cre
5445,2017-05-15,Nucleated,,21.0,Nucleated,Pvalb-IRES-Cre
5447,2017-05-15,Nucleated,,21.0,Nucleated,Pvalb-IRES-Cre
5449,2017-05-15,Nucleated,,21.0,Nucleated,Pvalb-IRES-Cre
5458,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5462,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5467,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5468,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5469,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5470,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5471,2017-05-16,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5479,2017-05-17,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5481,2017-05-17,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
5482,2017-05-17,Nucleated,,21.0,Nucleated,Gad2-IRES-Cre
