,Date,Post patch?,Post patch pipette R,PCR cycles,Time spent extracting cytosol,Time spent retracting pipette,patch duration,Picogreen conc. (pg/uL),Picogreen yield (pg),BA conc. >400 (pg/uL),Ratio >400/total,SM_QC_PF,recording duration,post patch class
1637,2017-04-19,Nucleated,,21.0,2.35,0.0,7.41666667,1536.0,,979.0,0.71,pass,5.06666667,Nucleated
1639,2017-04-19,Nucleated,,21.0,2.18333333,0.0,9.46666667,1154.0,,1193.0,0.81,pass,7.28333334,Nucleated
1641,2017-04-19,Nucleated,,21.0,2.53333333,0.0,4.55,1330.0,,1567.0,0.71,pass,2.01666667,Nucleated
1654,2017-04-20,Nucleated,,21.0,2.366666667,0.0,3.766666667,890.0,,894.0,0.66,pass,1.4,Nucleated
1663,2017-04-20,Nucleated,,21.0,2.0,0.0,3.7,1023.0,,878.0,0.65,pass,1.7,Nucleated
1675,2017-04-20,Nucleated,,21.0,2.08333333,0.0,6.55,1701.0,,2281.0,0.74,pass,4.46666667,Nucleated
1688,2017-04-21,Nucleated,,21.0,2.233333333,0.0,7.266666667,1211.0,,1136.0,0.81,pass,5.033333334,Nucleated
1692,2017-04-21,Nucleated,,21.0,1.71666667,0.0,9.11666667,1272.0,,1111.0,0.61,pass,7.4,Nucleated
1693,2017-04-21,Nucleated,,21.0,2.0,0.0,6.13333333,775.0,,746.0,0.75,pass,4.13333333,Nucleated
1701,2017-04-21,Nucleated,,21.0,1.98333333,0.0,3.26666667,1134.0,,1384.0,0.78,pass,1.28333334,Nucleated
1711,2017-04-24,Nucleated,,21.0,2.15,0.0,3.716666667,1419.0,,1055.0,0.67,pass,1.566666667,Nucleated
1717,2017-04-24,Nucleated,,21.0,2.033333333,0.0,3.616666667,942.0,,1091.0,0.66,pass,1.583333334,Nucleated
1724,2017-04-24,Nucleated,,21.0,2.38333333,0.0,6.51666667,655.0,,1120.0,0.91,pass,4.13333334,Nucleated
1729,2017-04-24,Nucleated,,21.0,2.36666667,0.0,4.4,751.0,,748.0,0.63,pass,2.03333333,Nucleated
1739,2017-04-25,Nucleated,,21.0,2.4,0.0,6.3,838.0,,811.0,0.67,pass,3.9,Nucleated
1750,2017-04-25,Nucleated,,21.0,2.36666667,0.0,4.51666667,840.0,,886.0,0.77,pass,2.15,Nucleated
1751,2017-04-25,Nucleated,,21.0,2.33333333,0.0,9.68333333,1085.0,,1181.0,0.7,pass,7.35,Nucleated
1755,2017-04-25,Nucleated,,21.0,2.15,0.0,6.13333333,641.0,,640.0,0.76,pass,3.98333333,Nucleated
1777,2017-04-26,Nucleated,,21.0,2.4,0.0,4.26666667,1207.0,,697.0,0.55,pass,1.86666667,Nucleated
1780,2017-04-26,Nucleated,,21.0,1.98333333,0.0,3.63333333,903.0,,701.0,0.62,pass,1.65,Nucleated
1783,2017-04-26,Nucleated,,21.0,2.16666667,0.0,9.28333333,1195.0,,1317.0,0.83,pass,7.11666666,Nucleated
1800,2017-04-27,Nucleated,,21.0,2.016666667,0.0,3.5,659.0,,426.0,0.64,pass,1.483333333,Nucleated
1812,2017-04-27,Nucleated,,21.0,2.25,0.0,9.0,1241.0,,1007.0,0.62,pass,6.75,Nucleated
1820,2017-04-28,Nucleated,,21.0,2.483333333,0.0,9.166666667,524.0,,360.0,0.59,pass,6.683333334,Nucleated
1830,2017-04-28,Nucleated,,21.0,3.55,0.0,5.41666667,1236.0,,1219.0,0.81,pass,1.86666667,Nucleated
1832,2017-04-28,Nucleated,,21.0,4.06666667,0.0,6.06666667,1356.0,,610.0,0.55,pass,2.0,Nucleated
1850,2017-05-01,Nucleated,,21.0,2.21666667,0.0,4.15,1269.0,,885.0,0.67,pass,1.93333333,Nucleated
1851,2017-05-01,Nucleated,,21.0,2.65,0.0,4.51666667,1169.0,,1140.0,0.75,pass,1.86666667,Nucleated
1852,2017-05-01,Nucleated,,21.0,2.36666667,0.0,4.18333333,2156.0,,2298.0,0.77,pass,1.81666666,Nucleated
1855,2017-05-01,Nucleated,,21.0,2.0,0.0,3.68333333,1287.0,,682.0,0.78,pass,1.68333333,Nucleated
1858,2017-05-01,Nucleated,,21.0,2.65,0.0,4.43333333,2152.0,,708.0,0.82,pass,1.78333333,Nucleated
1862,2017-05-01,Nucleated,,21.0,1.7,0.0,7.78333333,975.0,,226.0,0.38,fail,6.08333333,Nucleated
1864,2017-05-01,Nucleated,,21.0,1.31666667,0.0,5.65,1287.0,,706.0,0.63,pass,4.33333333,Nucleated
1865,2017-05-01,Nucleated,,21.0,2.03333333,0.0,3.11666667,1885.0,,674.0,0.47,pass,1.08333334,Nucleated
1866,2017-05-01,Nucleated,,21.0,2.25,0.0,6.08333333,3616.0,,1709.0,0.52,pass,3.83333333,Nucleated
1870,2017-05-01,Nucleated,,21.0,2.01666667,0.0,6.06666667,856.0,,434.0,0.74,pass,4.05,Nucleated
1878,2017-05-02,Nucleated,,21.0,2.133333333,0.0,4.166666667,1935.0,,709.0,0.75,pass,2.033333334,Nucleated
1879,2017-05-02,Nucleated,,21.0,2.266666667,0.0,5.183333333,1117.0,,617.0,0.76,pass,2.916666666,Nucleated
