,Date,Post patch?,PCR cycles,Cre_line
4717,2017-04-19,Outside-Out,21.0,Sst-IRES-Cre
4718,2017-04-19,Outside-Out,21.0,Sst-IRES-Cre
4719,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4720,2017-04-19,Nucleated,21.0,Sst-IRES-Cre
4721,2017-04-19,Outside-Out,21.0,Sst-IRES-Cre
4722,2017-04-19,Nucleated,21.0,Sst-IRES-Cre
4723,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4724,2017-04-19,Nucleated,21.0,Sst-IRES-Cre
4727,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4728,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4729,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4730,2017-04-19,No-Seal,21.0,Sst-IRES-Cre
4737,2017-04-20,Nucleated,21.0,Vip-IRES-Cre
4738,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4739,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4740,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4741,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4742,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4743,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4744,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4745,2017-04-20,Partial-Nucleus,21.0,Vip-IRES-Cre
4746,2017-04-20,Nucleated,21.0,Vip-IRES-Cre
4749,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4750,2017-04-20,Outside-Out,21.0,Vip-IRES-Cre
4751,2017-04-20,Entire-Cell,21.0,Vip-IRES-Cre
4752,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4753,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4754,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4755,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4756,2017-04-20,No-Seal,21.0,Vip-IRES-Cre
4757,2017-04-20,Outside-Out,21.0,Vip-IRES-Cre
4758,2017-04-20,Nucleated,21.0,Vip-IRES-Cre
4765,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4766,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4767,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4768,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4769,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4770,2017-04-21,Partial-Nucleus,21.0,Gad2-IRES-Cre
4771,2017-04-21,Nucleated,21.0,Gad2-IRES-Cre
4772,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4775,2017-04-21,Nucleated,21.0,Gad2-IRES-Cre
4776,2017-04-21,Nucleated,21.0,Gad2-IRES-Cre
4777,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4778,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4779,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4780,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4781,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4782,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4783,2017-04-21,No-Seal,21.0,Gad2-IRES-Cre
4784,2017-04-21,Nucleated,21.0,Gad2-IRES-Cre
4791,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4793,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4794,2017-04-24,Nucleated,21.0,Scnn1a-Tg3-Cre
4795,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4796,2017-04-24,Partial-Nucleus,21.0,Rorb-IRES2-Cre
4797,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4798,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4799,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4800,2017-04-24,Nucleated,21.0,Rorb-IRES2-Cre
4803,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4804,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4805,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4806,2017-04-24,No-Seal,21.0,Scnn1a-Tg3-Cre
4807,2017-04-24,Nucleated,21.0,Scnn1a-Tg3-Cre
4808,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4809,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4810,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4811,2017-04-24,No-Seal,21.0,Rorb-IRES2-Cre
4812,2017-04-24,Nucleated,21.0,Rorb-IRES2-Cre
4819,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4820,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4821,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4822,2017-04-25,Nucleated,21.0,Rorb-IRES2-Cre
4823,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4824,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4825,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4826,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4827,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4828,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4831,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4832,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4833,2017-04-25,Nucleated,21.0,Rorb-IRES2-Cre
4834,2017-04-25,Nucleated,21.0,Rorb-IRES2-Cre
4835,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4836,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4837,2017-04-25,Entire-Cell,21.0,Rorb-IRES2-Cre
4838,2017-04-25,Nucleated,21.0,Rorb-IRES2-Cre
4839,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4840,2017-04-25,No-Seal,21.0,Rorb-IRES2-Cre
4847,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4848,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4849,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4850,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4851,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4852,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4853,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4854,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4855,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4856,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4859,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4860,2017-04-26,Nucleated,21.0,Scnn1a-Tg3-Cre
4861,2017-04-26,Outside-Out,21.0,Scnn1a-Tg3-Cre
4862,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4863,2017-04-26,Nucleated,21.0,Rorb-IRES2-Cre
4864,2017-04-26,No-Seal,21.0,Rorb-IRES2-Cre
4865,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4866,2017-04-26,Nucleated,21.0,Rorb-IRES2-Cre
4867,2017-04-26,Outside-Out,21.0,Rorb-IRES2-Cre
4868,2017-04-26,No-Seal,21.0,Rorb-IRES2-Cre
4875,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4876,2017-04-27,No-Seal,21.0,Rorb-IRES2-Cre
4877,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4878,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4879,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4880,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4881,2017-04-27,No-Seal,21.0,Rorb-IRES2-Cre
4882,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4883,2017-04-27,Nucleated,21.0,Rorb-IRES2-Cre
4884,2017-04-27,Partial-Nucleus,21.0,Rorb-IRES2-Cre
4888,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4889,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4890,2017-04-27,No-Seal,21.0,Rorb-IRES2-Cre
4891,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4892,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4893,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4894,2017-04-27,Outside-Out,21.0,Rorb-IRES2-Cre
4895,2017-04-27,Nucleated,21.0,Rorb-IRES2-Cre
4896,2017-04-27,No-Seal,21.0,Rorb-IRES2-Cre
4903,2017-04-28,Nucleated,21.0,Scnn1a-Tg3-Cre
4904,2017-04-28,Outside-Out,21.0,Scnn1a-Tg3-Cre
4905,2017-04-28,Outside-Out,21.0,Scnn1a-Tg3-Cre
4906,2017-04-28,Outside-Out,21.0,Scnn1a-Tg3-Cre
4907,2017-04-28,Outside-Out,21.0,Scnn1a-Tg3-Cre
4908,2017-04-28,Outside-Out,21.0,Rorb-IRES2-Cre
4909,2017-04-28,No-Seal,21.0,Rorb-IRES2-Cre
4910,2017-04-28,Outside-Out,21.0,Rorb-IRES2-Cre
4913,2017-04-28,Nucleated,21.0,Scnn1a-Tg3-Cre
4914,2017-04-28,No-Seal,21.0,Scnn1a-Tg3-Cre
4915,2017-04-28,Nucleated,21.0,Scnn1a-Tg3-Cre
4916,2017-04-28,Outside-Out,21.0,Scnn1a-Tg3-Cre
4917,2017-04-28,No-Seal,21.0,Rorb-IRES2-Cre
4918,2017-04-28,Partial-Nucleus,21.0,Rorb-IRES2-Cre
4919,2017-04-28,No-Seal,21.0,Rorb-IRES2-Cre
4920,2017-04-28,Partial-Nucleus,21.0,Rorb-IRES2-Cre
4927,2017-05-01,Outside-Out,21.0,Rorb-IRES2-Cre-neo
4928,2017-05-01,Outside-Out,21.0,Rorb-IRES2-Cre-neo
4929,2017-05-01,No-Seal,21.0,Rorb-IRES2-Cre-neo
4930,2017-05-01,Outside-Out,21.0,Rorb-IRES2-Cre-neo
4933,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4934,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4935,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4936,2017-05-01,No-Seal,21.0,Rorb-IRES2-Cre-neo
4937,2017-05-01,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4938,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4939,2017-05-01,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4940,2017-05-01,No-Seal,21.0,Rorb-IRES2-Cre-neo
4941,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4942,2017-05-01,Outside-Out,21.0,Rorb-IRES2-Cre-neo
4945,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4946,2017-05-01,No-Seal,21.0,Rorb-IRES2-Cre-neo
4947,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4948,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4949,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4950,2017-05-01,No-Seal,21.0,Rorb-IRES2-Cre-neo
4951,2017-05-01,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4952,2017-05-01,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4953,2017-05-01,Nucleated,21.0,Rorb-IRES2-Cre-neo
4954,2017-05-01,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4961,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4962,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4963,2017-05-02,No-Seal,21.0,Rorb-IRES2-Cre-neo
4964,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4965,2017-05-02,No-Seal,21.0,Rorb-IRES2-Cre-neo
4966,2017-05-02,No-Seal,21.0,Rorb-IRES2-Cre-neo
4967,2017-05-02,No-Seal,21.0,Rorb-IRES2-Cre-neo
4968,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4969,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4970,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4973,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4974,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4975,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4976,2017-05-02,No-Seal,21.0,Rorb-IRES2-Cre-neo
4977,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4978,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4979,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4980,2017-05-02,Outside-Out,21.0,Rorb-IRES2-Cre-neo
4981,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4982,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4983,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4984,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4987,2017-05-02,Nucleated,21.0,Rorb-IRES2-Cre-neo
4988,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4989,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4990,2017-05-02,Partial-Nucleus,21.0,Rorb-IRES2-Cre-neo
4991,2017-05-02,Entire-Cell,21.0,Rorb-IRES2-Cre-neo
4998,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
4999,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5000,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5001,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5002,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5003,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5004,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5005,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5006,2017-05-03,Partial-Nucleus,21.0,Scnn1a-Tg2-Cre
5007,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5010,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5011,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5012,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5013,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5014,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5015,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5016,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5017,2017-05-03,No-Seal,21.0,Scnn1a-Tg2-Cre
5018,2017-05-03,Entire-Cell,21.0,Scnn1a-Tg2-Cre
5019,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5022,2017-05-03,Entire-Cell,21.0,Chat-IRES-Cre-neo
5023,2017-05-03,Entire-Cell,21.0,Chat-IRES-Cre-neo
5024,2017-05-03,Partial-Nucleus,21.0,Chat-IRES-Cre-neo
5025,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5026,2017-05-03,Nucleated,21.0,Scnn1a-Tg2-Cre
5032,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5033,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5034,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5035,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5036,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5037,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5038,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5039,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5040,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5041,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5044,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5045,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5046,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5047,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5048,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5049,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5050,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5051,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5052,2017-05-04,No-Seal,21.0,Rorb-IRES2-Cre
5053,2017-05-04,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5056,2017-05-04,Nucleated,21.0,Htr3a-Cre_NO152;Pvalb-T2A-Dre
5057,2017-05-04,Nucleated,21.0,Htr3a-Cre_NO152;Pvalb-T2A-Dre
5058,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5059,2017-05-04,Nucleated,21.0,Rorb-IRES2-Cre
5064,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5065,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5066,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5067,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5068,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5069,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5070,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5071,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5072,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5073,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5076,2017-05-05,No-Seal,21.0,Nr5a1-Cre
5077,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5078,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5079,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5080,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5081,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5082,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5083,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5084,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5085,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5088,2017-05-05,Nucleated,21.0,Nr5a1-Cre
5089,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5090,2017-05-05,Partial-Nucleus,21.0,Nr5a1-Cre
5095,2017-05-10,No-Seal,21.0,Pvalb-IRES-Cre
5096,2017-05-10,Nucleated,21.0,Pvalb-IRES-Cre
5097,2017-05-10,No-Seal,21.0,Rorb-IRES2-Cre
5098,2017-05-10,No-Seal,21.0,Rorb-IRES2-Cre
5099,2017-05-10,No-Seal,21.0,Rorb-IRES2-Cre
5100,2017-05-10,Nucleated,21.0,Rorb-IRES2-Cre
5101,2017-05-10,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5102,2017-05-10,Partial-Nucleus,21.0,Rorb-IRES2-Cre
5103,2017-05-10,No-Seal,21.0,Rorb-IRES2-Cre
