Date,User,Rig #,File,Ephys,Trans,Morph,Pilot,Pilot Details,cell type,Slice on rig time,Time,Time to Entire-Cell,Region,Layer,Depth (um),Slice (Lims ID?),Slice health,Slice notes,"Location (x,y coordinates?)",extraction pressure applied (mbar),retraction pressure applied (mbar),Post patch?,Post patch pipette R,Nucleus sucked in?,Volume (uL),Notes,Time spent extracting cytosol,Time spent retracting pipette,patch duration,Ephys protocol,Rheobase,Pipette size (MOhm),Vm,Breakin Ra,Ephys notes,aCSF date,Internal version,Takara RNAse inhibitor,Biocytin,Tube_ID,Well ID #,Lims tube id,Lims tube id,Smarter_ID,Picogreen conc. (pg/uL),Picogreen yield (pg),BA total conc. (pg/uL),BA total yield (pg),BA conc. <400 (pg/uL),BA conc. >400 (pg/uL),Ratio >400/total,SM_QC,PCR cycles,>400 normalized to 21 pcr cycles,SM_QC_PF,Batch,Resolution index,Cluster,Res index pctl.,Total reads,mRNA reads,%mRNA,Genes detected,Biocytin Well,Barcode,Atlas Region,distance to edge,Plate,20x status,20x LIMS link,63x go no go,63x QC,Confidence,Bad dates,Notes,
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.07.01.01,?,x,n,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,10:55,11:07,0.7,dLGN,,56.4,Gad2-IRES-Cre;Ai14-292660.07.01,3,,most medial,81,,Outside-Out,,,1,"Fluorescence in Pipette,Cell Dimmed",2.3,,11.78333333,,20,5.2,-60,14,,170103,AiV2,1.0 [concentrated stock],0.5,1,EPhys_170103_02_A01_M,P1S4_170104_001_A01,P1S4_170104_001_A01,PSM010917.01,,,272.6,,151,122,0.45,salvage,18,976,pass,,,,,,,,,BIOCYTIN_170110_02_A01,500329663,LGd,236,79,qc,http://lims2/focal_plane_image_series?id=564353160,,,,x,"did not aliquot internal, shared",
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.07.01.02,x,x,n,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,10:55,11:30,0.766666667,dLGN,,61.5,Gad2-IRES-Cre;Ai14-292660.07.01,3,,more lateral,83,,No-Seal,,,1,Cell Dimmed,2.316666667,,12.21666667,,30,4.8,-54,15,,170103,AiV2,1.0 [concentrated stock],0.5,2,,P1S4_170104_002_A01,P1S4_170104_002_A01,PSM010917.02,,,324.3,,33,292,0.9,pass,18,2336,pass,,,,,,,,,BIOCYTIN_170110_02_A01,500329663,LGd,99,79,qc,http://lims2/focal_plane_image_series?id=564353160,,,,x,,
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.07.01.03,?,x,n,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,10:55,12:06,0.566666667,dLGN,,45,Gad2-IRES-Cre;Ai14-292660.07.01,3,,most lateral,83,,No-Seal,,,1,Cell Dimmed,2.45,,11.78333333,,20,5.5,-60,11,,170103,AiV2,1.0 [concentrated stock],0.5,3,,P1S4_170104_003_A01,P1S4_170104_003_A01,PSM010917.03,,,278.1,,60,218,0.78,pass,18,1744,pass,,,,,,,,,BIOCYTIN_170110_02_A01,500329663,LGd,150,79,qc,http://lims2/focal_plane_image_series?id=564353160,,,,x,,
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.08.01.01,?,x,n,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,14:23,14:34,0.7,dLGN,,54.5,Gad2-IRES-Cre;Ai14-292660.08.01,3,,most medial,81,,No-Seal,,,1,"Fluorescence in Pipette,Cell Dimmed",2.316666667,,12.45,,50,5.7,-40,15,,170103,AiV2,1.0 [concentrated stock],0.5,4,EPhys_170103_02_A04_M,P1S4_170104_004_A01,P1S4_170104_004_A01,PSM010917.04,,,250.9,,81,170,0.68,salvage,18,1360,pass,,,,,,,,,BIOCYTIN_170110_02_A04,500320665,LGd,84,76,qc,http://lims2/focal_plane_image_series?id=564353615,,,,x,,
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.08.01.02,x,x,y,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,14:23,14:56,0.783333333,dLGN,,57.1,Gad2-IRES-Cre;Ai14-292660.08.01,3,,more lateral,85,,Outside-Out,,,1,"Fluorescence in Pipette,Cell Dimmed",2.35,,12.36666667,,20,4.8,-40,13,,170103,AiV2,1.0 [concentrated stock],0.5,5,,P1S4_170104_005_A01,P1S4_170104_005_A01,PSM010917.05,,,550.8,,166,385,0.7,salvage,18,3080,pass,,,,,,,,,BIOCYTIN_170110_02_A04,500320665,LGd,44,76,qc,http://lims2/focal_plane_image_series?id=564353615,63x go,image_qc_passed,,x,,
170104,P1,5,Gad2-IRES-Cre;Ai14-292660.08.01.03,?,x,y,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,14:23,15:25,0.516666667,dLGN,,44.1,Gad2-IRES-Cre;Ai14-292660.08.01,3,,most lateral,82,,Nucleated,,,1,"Fluorescence in Pipette,Cell Dimmed",2.45,,12.11666667,,30,5,-60,10,,170103,AiV2,1.0 [concentrated stock],0.5,6,,P1S4_170104_006_A01,P1S4_170104_006_A01,PSM010917.06,,,266.9,,61,206,0.77,pass,18,1648,pass,,,,,,,,,BIOCYTIN_170110_02_A04,500320665,LGd,206,76,qc,http://lims2/focal_plane_image_series?id=564353615,63x go,image_qc_passed,,x,,
170104,P0,5,pipette in tissue control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AiV2,1.0 [concentrated stock],0.5,7,NA,P0S4_170104_007_A01,P0S4_170104_007_A01,PSM010917.07,,,165.8,,70,96,0.58,CNT,18,768,cnt,,,,,,,,,,,,,,,,,,,x,,
170104,P0,5,aCSF (bath) control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,P0S4_170104_008_A01,P0S4_170104_008_A01,PSM010917.08,,,92.5,,37,56,0.6,CNT,18,448,cnt,,,,,,,,,,,,,,,,,,,x,,
170104,P2,7,Gad2-IRES-Cre;Ai14-292660.07.02.01,x,x,y,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,11:17,11:45,1.51666667,dLGN,,33.6,Gad2-IRES-Cre;Ai14-292660.07.02,3,,most medial,-80,,Outside-Out,,,1,Fluorescence in Pipette,2.48333333,,13.3,,30,4.8,-66,15.5,,170103,AiV2,1.0 [concentrated stock],0.5,51,EPhys_170103_02_A02_M,P2S4_170104_051_A01,P2S4_170104_051_A01,PSM010917.09,,,377.6,,128,250,0.66,salvage,18,2000,pass,,,,,,,,,BIOCYTIN_170110_02_A02,500329661,LGd,342,79,qc,http://lims2/focal_plane_image_series?id=564353565,,,,x,"did not aliquot internal, shared",
170104,P2,7,Gad2-IRES-Cre;Ai14-292660.07.02.02,x,x,n,2nd Pipette,aCSF III with 1.0 U RNase Inhibitor,tdt+,11:17,12:23,1.43333333,dLGN,,56.9,Gad2-IRES-Cre;Ai14-292660.07.02,3,,lateral to first cell,-80,,Nucleated,,,1,Cell Dimmed,2.1,,11.8166667,,20,4.6,-63,9.2,,170103,AiV2,1.0 [concentrated stock],0.5,52,,P2S4_170104_052_A01,P2S4_170104_052_A01,PSM010917.10,,,317.6,,45,273,0.86,pass,18,2184,pass,,,,,,,,,BIOCYTIN_170110_02_A02,500329661,LGd,286,79,qc,http://lims2/focal_plane_image_series?id=564353565,,,,x,,
